GenusSpecies,Genus,Species,Family,SubOrder,body_colors,body_colortypes,body_patterns,mate_guarding,flight_mode,territoriality,continents,aquatic_habitats,climates,ecozones,habitat_openness,citations,ISBN,DOI,sex_polymorphisms,sex_dimorphisms,geo_polymorphisms,body_lengths,forewing_lengths,hindwing_lengths,has_wing_pigment,wing_pigment_extent_discrete,wing_pigment_extent_continuous,wing_pigment_pattern,wing_pigment_symmetry,wing_pigment_dimorphism,wing_pigment_color,wing_pigment_placement,wing_pigment_color_type,female_has_wing_pigment,female_wing_pigment_extent_discrete,female_wing_pigment_extent_continuous,female_wing_pigment_placement,female_body_lengths,female_hindwing_lengths,female_forewing_lengths
Sympetrum internum,Sympetrum,internum,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum internum,Sympetrum,internum,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dsc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum internum,Sympetrum,internum,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dwb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum internum,Sympetrum,internum,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dwc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum internum,Sympetrum,internum,Libellulidae,Anisoptera,black,pigment,plain,contact,percher,territorial,north america,ephemeral,BSk,nearctic,semi,Paulson (2009),978-0691122816,NA,females,strong,males polymorphic,33.5,NA,25.5,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum internum,Sympetrum,internum,Libellulidae,Anisoptera,red,NA,spotted,NA,NA,NA,NA,NA,Cfa,NA,NA,Paulson (2012),978-0691122830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum madidum,Sympetrum,madidum,Libellulidae,Anisoptera,yellow,NA,striped,NA,NA,NA,NA,NA,Csa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum madidum,Sympetrum,madidum,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Csb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum madidum,Sympetrum,madidum,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dfa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum madidum,Sympetrum,madidum,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dfb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum madidum,Sympetrum,madidum,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dfc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum madidum,Sympetrum,madidum,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum madidum,Sympetrum,madidum,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dsc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum madidum,Sympetrum,madidum,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dwb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum madidum,Sympetrum,madidum,Libellulidae,Anisoptera,black,pigment,plain,contact,percher,NA,north america,ephemeral,BSk,nearctic,NA,Paulson (2009),978-0691122816,NA,females,strong,monomorphic,43.5,NA,29.5,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum madidum,Sympetrum,madidum,Libellulidae,Anisoptera,red,NA,spotted,NA,NA,NA,NA,stream,Cfb,NA,NA,Paulson (2012),978-0691122830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum meridionale,Sympetrum,meridionale,Libellulidae,Anisoptera,orange,pigment,plain,contact,percher,non-territorial,afrika,ephemeral,BSk,palearctic,semi,Askew (1988),978-0946589104,NA,NA,strong,NA,37.5,NA,27.5,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum meridionale,Sympetrum,meridionale,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,asia,wetland,Cfb,NA,NA,Dijkstra and Lewington (2006),978-0953139941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum meridionale,Sympetrum,meridionale,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,europe,NA,Csa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum nigrifemur,Sympetrum,nigrifemur,Libellulidae,Anisoptera,green,pigment,plain,contact,percher,NA,europe,stream,BSk,palearctic,semi,Dijkstra and Lewington (2006),978-0953139941,NA,NA,NA,NA,45.5,NA,31,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum nigrifemur,Sympetrum,nigrifemur,Libellulidae,Anisoptera,orange,NA,spotted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum obtrusum,Sympetrum,obtrusum,Libellulidae,Anisoptera,red,NA,NA,NA,NA,NA,NA,wetland,Dfa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum obtrusum,Sympetrum,obtrusum,Libellulidae,Anisoptera,white,NA,NA,NA,NA,NA,NA,NA,Dfb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum obtrusum,Sympetrum,obtrusum,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dfc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum obtrusum,Sympetrum,obtrusum,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dsa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum obtrusum,Sympetrum,obtrusum,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum obtrusum,Sympetrum,obtrusum,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dwb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum obtrusum,Sympetrum,obtrusum,Libellulidae,Anisoptera,black,pigment,spotted,noncontact,percher,NA,north america,ephemeral,BSk,nearctic,closed,Paulson (2009),978-0691122816,NA,females,strong,monomorphic,35,NA,24.5,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum obtrusum,Sympetrum,obtrusum,Libellulidae,Anisoptera,brown,NA,NA,NA,NA,NA,NA,lake,Cfb,NA,NA,Paulson (2012),978-0691122830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum pallipes,Sympetrum,pallipes,Libellulidae,Anisoptera,black,pigment,spotted,contact,percher,territorial,north america,lake,BSk,nearctic,closed,Biggs (2000),9.78097E+12,NA,NA,weak,NA,36,NA,26.5,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum pallipes,Sympetrum,pallipes,Libellulidae,Anisoptera,red,NA,NA,NA,NA,NA,NA,wetland,Dfa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum pallipes,Sympetrum,pallipes,Libellulidae,Anisoptera,white,NA,NA,NA,NA,NA,NA,NA,Dfb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum pallipes,Sympetrum,pallipes,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dfc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum pallipes,Sympetrum,pallipes,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dsa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum pallipes,Sympetrum,pallipes,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum pallipes,Sympetrum,pallipes,Libellulidae,Anisoptera,brown,NA,striped,NA,NA,NA,NA,pond,Cfb,NA,open,Paulson (2009),978-0691122816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum pedemontanum,Sympetrum,pedemontanum,Libellulidae,Anisoptera,red,pigment,plain,contact,percher,non-territorial,asia,pond,Cfa,palearctic,semi,Askew (1988),978-0946589104,NA,NA,strong,NA,31.5,NA,24.5,yes,25,0.16,stripes,symmetric pigment,not dimorphic,brown,tip,pigment,yes,25,0.16,tip,35,28,NA
Sympetrum pedemontanum,Sympetrum,pedemontanum,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,europe,river,Csb,NA,NA,Dijkstra and Lewington (2006),978-0953139941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum pedemontanum,Sympetrum,pedemontanum,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dfb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum pedemontanum,Sympetrum,pedemontanum,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,wetland,Dfa,NA,NA,Onzono et al (2012),9.78483E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum rubicundulum,Sympetrum,rubicundulum,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Cfb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum rubicundulum,Sympetrum,rubicundulum,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dfa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum rubicundulum,Sympetrum,rubicundulum,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dfb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum rubicundulum,Sympetrum,rubicundulum,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dfc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum rubicundulum,Sympetrum,rubicundulum,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dwb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum rubicundulum,Sympetrum,rubicundulum,Libellulidae,Anisoptera,black,pigment,plain,contact,percher,NA,north america,wetland,BSk,nearctic,open,Paulson (2009),978-0691122816,NA,NA,strong,males polymorphic,33.5,NA,27,yes,50,0.48,NA,symmetric pigment,not dimorphic,orange,basal,pigment,yes,50,0.48,basal,NA,NA,NA
Sympetrum rubicundulum,Sympetrum,rubicundulum,Libellulidae,Anisoptera,red,NA,spotted,NA,NA,NA,NA,NA,Cfa,NA,NA,Paulson (2012),978-0691122830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum sanguineum,Sympetrum,sanguineum,Libellulidae,Anisoptera,black,pigment,plain,contact,percher,non-territorial,asia,ephemeral,Cfb,palearctic,closed,Askew (1988),978-0946589104,NA,NA,strong,NA,36.5,NA,27,yes,10,0.03,NA,hindwing more pigment,not dimorphic,red,basal,pigment,yes,10,0.03,basal,NA,NA,NA
Sympetrum sanguineum,Sympetrum,sanguineum,Libellulidae,Anisoptera,red,NA,spotted,NA,NA,NA,europe,wetland,Csa,NA,open,Dijkstra and Lewington (2006),978-0953139941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum sanguineum,Sympetrum,sanguineum,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dfb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum semicinctum,Sympetrum,semicinctum,Libellulidae,Anisoptera,red,NA,NA,NA,NA,NA,NA,NA,Cfb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum semicinctum,Sympetrum,semicinctum,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dfa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum semicinctum,Sympetrum,semicinctum,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dfb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum semicinctum,Sympetrum,semicinctum,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dfc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum semicinctum,Sympetrum,semicinctum,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum semicinctum,Sympetrum,semicinctum,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dwb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum semicinctum,Sympetrum,semicinctum,Libellulidae,Anisoptera,black,pigment,striped,contact,flier,NA,north america,pond,BSk,nearctic,open,Paulson (2009),978-0691122816,NA,monomorphic,strong,NA,34,NA,25,yes,50,0.56,NA,symmetric pigment,weakly dimorphic,red,basal,pigment,yes,50,0.39,basal,NA,NA,NA
Sympetrum semicinctum,Sympetrum,semicinctum,Libellulidae,Anisoptera,brown,NA,NA,NA,percher,NA,NA,wetland,Cfa,NA,NA,Paulson (2012),978-0691122830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixed,NA,NA,NA,NA,middle,NA,NA,NA
Sympetrum signiferum,Sympetrum,signiferum,Libellulidae,Anisoptera,brown,NA,spotted,NA,percher,NA,NA,NA,BSk,NA,open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,brown,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum signiferum,Sympetrum,signiferum,Libellulidae,Anisoptera,red,NA,NA,NA,NA,NA,NA,NA,BWh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum signiferum,Sympetrum,signiferum,Libellulidae,Anisoptera,black,pigment,plain,contact,flier,territorial,north america,stream,BSh,nearctic,closed,Paulson (2009),978-0691122816,NA,monomorphic,strong,monomorphic,37.5,NA,28.5,yes,10,0.06,NA,hindwing more pigment,not dimorphic,amber,basal,pigment,yes,10,0.06,basal,NA,NA,NA
Sympetrum sinaiticum,Sympetrum,sinaiticum,Libellulidae,Anisoptera,green,pigment,plain,contact,percher,NA,afrika,pond,Csb,palearctic,open,Dijkstra and Lewington (2006),978-0953139941,NA,NA,strong,NA,35.5,NA,26.5,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum sinaiticum,Sympetrum,sinaiticum,Libellulidae,Anisoptera,red,NA,striped,NA,NA,NA,asia,stream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum sinaiticum,Sympetrum,sinaiticum,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,europe,wetland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum striolatum,Sympetrum,striolatum,Libellulidae,Anisoptera,black,pigment,plain,contact,percher,NA,afrika,ephemeral,BSk,palearctic,open,Askew (1988),978-0946589104,NA,NA,weak,NA,39.5,NA,27,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,30.5,NA
Sympetrum striolatum,Sympetrum,striolatum,Libellulidae,Anisoptera,orange,NA,striped,none,NA,NA,asia,lake,Cfa,NA,NA,Dijkstra and Lewington (2006),978-0953139941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum striolatum,Sympetrum,striolatum,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Csb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum striolatum,Sympetrum,striolatum,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dfa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum striolatum,Sympetrum,striolatum,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dfb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum striolatum,Sympetrum,striolatum,Libellulidae,Anisoptera,red,NA,NA,NA,NA,NA,europe,pond,Cfb,NA,NA,Onzono et al (2012),9.78483E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum vicinum,Sympetrum,vicinum,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Cfa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum vicinum,Sympetrum,vicinum,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Cfb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum vicinum,Sympetrum,vicinum,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Csb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum vicinum,Sympetrum,vicinum,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dfa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum vicinum,Sympetrum,vicinum,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dfb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum vicinum,Sympetrum,vicinum,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dfc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum vicinum,Sympetrum,vicinum,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum vicinum,Sympetrum,vicinum,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dwb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum vicinum,Sympetrum,vicinum,Libellulidae,Anisoptera,black,pigment,plain,contact,percher,non-territorial,north america,lake,BSh,nearctic,closed,Paulson (2009),978-0691122816,NA,monomorphic,weak,monomorphic,33,NA,22,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum vicinum,Sympetrum,vicinum,Libellulidae,Anisoptera,red,NA,spotted,NA,NA,NA,NA,pond,BSk,NA,NA,Paulson (2012),978-0691122830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum vulgatum,Sympetrum,vulgatum,Libellulidae,Anisoptera,orange,pigment,plain,contact,percher,NA,asia,lake,Cfb,palearctic,semi,Askew (1988),978-0946589104,NA,NA,strong,NA,37.5,NA,26.5,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,31,NA
Sympetrum vulgatum,Sympetrum,vulgatum,Libellulidae,Anisoptera,red,NA,NA,NA,NA,NA,europe,pond,Csa,NA,NA,Dijkstra and Lewington (2006),978-0953139941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sympetrum vulgatum,Sympetrum,vulgatum,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,wetland,Dfb,NA,NA,Onzono et al (2012),9.78483E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syncordulia gracilis,Syncordulia,gracilis,Corduliidae,Anisoptera,brown,pigment,striped,NA,flier,NA,afrika,river,NA,afrotropical,closed,Samways (2008),9.78955E+12,NA,NA,weak,NA,45,NA,28,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syncordulia gracilis,Syncordulia,gracilis,Corduliidae,Anisoptera,yellow,NA,NA,NA,NA,NA,NA,stream,NA,NA,open,Tarboton and Tarboton (2002),0-620-29887-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syncordulia legator,Syncordulia,legator,Corduliidae,Anisoptera,yellow,NA,striped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syncordulia legator,Syncordulia,legator,Corduliidae,Anisoptera,black,pigment,spotted,NA,flier,NA,afrika,river,NA,afrotropical,semi,Samways (2008),9.78955E+12,NA,NA,weak,NA,49.5,NA,28,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syncordulia serendipator,Syncordulia,serendipator,Corduliidae,Anisoptera,yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syncordulia serendipator,Syncordulia,serendipator,Corduliidae,Anisoptera,brown,pigment,spotted,NA,flier,NA,afrika,stream,NA,afrotropical,open,Samways (2008),9.78955E+12,NA,NA,weak,NA,53,NA,32,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
